Price Date,Unnamed: 0,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),temperature_C,rainfall_mm
2020-01-01,0.0,3860.0,5980.0,4830.0,13.45,2.42
2020-01-02,1.0,3900.0,6000.0,4900.0,15.52,2.86
2020-01-03,2.0,3800.0,6200.0,5500.0,14.81,0.07
2020-01-04,3.0,3500.0,6000.0,5200.0,13.25,0.0
2020-01-05,4.0,3000.0,4000.0,3500.0,12.77,0.0
2020-01-06,5.0,3840.0,6280.0,5360.0,13.83,0.0
2020-01-07,6.0,3650.0,5880.0,4720.0,15.82,0.0
2020-01-08,7.0,3520.0,5050.0,4670.0,17.05,0.42
2020-01-09,8.0,3460.0,5190.0,4640.0,12.08,0.05
2020-01-10,9.0,3250.0,4880.0,4170.0,9.61,0.0
2020-01-11,10.0,2840.0,4450.0,3540.0,10.74,0.0
2020-01-12,11.0,2640.0,4260.0,3250.0,14.33,0.0
2020-01-13,11.0,2635.0,4285.0,3298.0,16.69,0.0
2020-01-14,11.0,2630.0,4310.0,3345.0,17.78,0.56
2020-01-15,11.0,2625.0,4335.0,3392.0,17.89,0.81
2020-01-16,12.0,2620.0,4360.0,3440.0,15.81,0.7
2020-01-17,13.0,2840.0,4580.0,3660.0,13.19,0.02
2020-01-18,14.0,2600.0,4250.0,3500.0,13.77,0.0
2020-01-19,15.0,2850.0,4480.0,3660.0,12.55,0.0
2020-01-20,16.0,2820.0,4040.0,3330.0,12.86,0.0
2020-01-21,17.0,2240.0,3880.0,3040.0,17.07,0.28
2020-01-22,18.0,2040.0,3680.0,2860.0,18.11,1.52
2020-01-23,19.0,2150.0,3880.0,3070.0,14.98,0.0
2020-01-24,20.0,2400.0,4580.0,3670.0,13.97,0.0
2020-01-25,21.0,2830.0,4660.0,3840.0,15.02,0.0
2020-01-26,22.0,2620.0,4460.0,3540.0,16.25,0.0
2020-01-27,23.0,2420.0,4260.0,3240.0,18.56,0.0
2020-01-28,24.0,2640.0,4480.0,3560.0,17.54,0.0
2020-01-29,25.0,2240.0,4080.0,3260.0,15.09,0.0
2020-01-30,26.0,2120.0,3860.0,3040.0,13.51,0.0
2020-01-31,27.0,2240.0,3680.0,2860.0,14.03,0.0
2020-02-01,27.0,2060.0,3575.0,2730.0,13.89,0.0
2020-02-02,27.0,1880.0,3470.0,2600.0,13.63,0.0
2020-02-03,27.0,1700.0,3365.0,2470.0,15.21,0.01
2020-02-04,28.0,1520.0,3260.0,2340.0,16.89,0.05
2020-02-05,29.0,1650.0,2280.0,2260.0,16.61,0.0
2020-02-06,30.0,1520.0,2860.0,2240.0,16.87,0.0
